    0 :  |  |  |  |  | 
   10 :  | Arena          
   14 :  | Perseveran�a   
   15 :  | Bradbury       
   19 :  | Nicosia        
   28 :  | Dumont         
   30 :  | Moria          
   38 :  | Odessa         
   42 :  | Lowell         
   43 :  | Underhill      
   51 :  | Bakhuysen      
   54 :  | Lakefront      
   58 :  | Arrakeen       
   62 :  | Burroughs      
   64 :  | Tharsis        
   78 :  | Echus Overlook 
   99 :  | Gondor          | Senzeni Na     
  103 :  | Acheron         | Rowan          
  106 :  | Esperan�a      
  114 :  | Temperan�a     
  124 :  | Cairo          
  127 :  | Sheffield      
